GENERAL_ID,Risk_category,registration_number,Lat,Lon,County,Address,Post_code,Locality,Year Built,Height Regime,Apartment count,Surface,Examination Year,Certified expert,Observations,Cadastre Number,Land Registry Number,Administration Update,Admin Update
27,Rs I,27,44.432498,26.102116,București,"Strada BLANARI („CLUB A"")",14,Sector,1935,P+5E,40,2645,1993,Mircea CONDRUŢ,,,,07.04.2016,03.05.2016
28,Rs I,28,44.44035,26.110711,București,Strada BOCŞA,3,Sector,1932,P+5E,25,2875,1995,Marin TEODOR,,,,07.04.2016,03.05.2016
29,Rs I,29,44.439608,26.098439,București,Strada BOTEANU,3A(3B,Sector,1936,S+P+8E+Ma S+P+7E,90,10593,1995,Alexandrina PRETORIAN Dan GHIOCEL. Iorgu NICULA,1935 1936,,,07.04.2016,03.05.2016
30,Rs I,30,44.441711,26.104899,București,Strada C. A. ROSETTI,43A,Sector,1933,S+P+4E,11,790,1994,Adina SIMION,,,,07.04.2016,03.05.2016
31,Rs I,31,44.447754,26.096499,București,Strada CĂDEREA BASTILIEI,5,Sector,1938,S+P+7E,41,3457,1994,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
32,Rs I,32,44.436263,26.108458,București,Strada CAIMATEI,18,Sector,1936,P+5E,13,2073,1998,Rodica VASILESCU,,,,07.04.2016,03.05.2016
33,Rs I,33,44.437249,26.111484,București,Bulevardul CAROL I,47,Sector,1934,P+8E,23,2784,1993,Niculae TUDOSE,,,,07.04.2016,03.05.2016
34,Rs I,34,44.43731,26.111804,București,Bulevardul CAROL I,51,Sector,1929,S+DS+P+7E,30,5105,2001,Grigore ARSENIE,,,,07.04.2016,03.05.2016
35,Rs I,35,44.437713,26.113866,București,Bulevardul CAROL I,63,Sector,1937,S+P+5E+Ma,18,1769,1993,Niculae TUDOSE,,,,07.04.2016,03.05.2016
36,Rs I,36,44.43776,26.114536,București,Bulevardul CAROL I,76,Sector,1939,P+8E,18,323,1994,Dan POPESCU,,,,07.04.2016,03.05.2016
37,Rs I,37,44.433714,26.104206,București,Strada COLŢEI,14,Sector,1900,S+P+3E,5,908,1995,Leonid NEAGOE,,,,07.04.2016,03.05.2016
38,Rs I,38,44.434688,26.106726,București,Strada COLŢEI,52,Sector,1913,S+P+2E+Pod,3,896,1993,Armand NEFIAN,,,,07.04.2016,03.05.2016
39,Rs I,39,44.430436,26.101999,București,Strada COVACI,10,Sector,1890,S+P+2E,14,2282,1993,Ioan VARSA,,,,07.04.2016,03.05.2016
40,Rs I,40,44.430353,26.102234,București,Strada COVACI,14(14A,Sector,1940,S+P+3E,5,1535,1993,Mihai PERJESCU,,,,07.04.2016,03.05.2016
41,Rs I,41,44.444712,26.096524,București,Strada D. I. MENDELEEV Strada PIAŢA AMZEI,17 15,Sector,1935,S+P+6E,44,4579,1993,Emilian TITARU,consolidat parţial ! (lucrări de consolidare nefinalizate),,,07.04.2016,03.05.2016
42,Rs I,42,44.446912,26.099552,București,Bulevardul DACIA,43 (1),Sector,1930,S+P+5E+Ma,6,1344,1997,Valentin GEORGESCU,,,,07.04.2016,03.05.2016
43,Rs I,43,44.44597,26.092208,București,Bulevardul DACIA,53 (9),Sector,1938,S+P+8E,17,1435,1997,Helmuth KOBER,,,,07.04.2016,03.05.2016
44,Rs I,44,44.445519,26.110972,București,Bulevardul DACIA,102,Sector,1936,S+P+4E+Ma,26,2261,1993,Constantin ARIENESCU,,,,07.04.2016,03.05.2016
45,Rs I,45,44.436709,26.106834,București,Strada DIANEI,2,Sector,1930,P+5E,12,132,1993,Petru VERNESCU,,,,07.04.2016,03.05.2016
46,Rs I,46,44.435064,26.106011,București,Strada DIMITRIE BOLINTINEANU,5,Sector,1936,P+6E,44,5239,1994,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
47,Rs I,47,44.441606,26.12361,București,Strada DIMITRIE SALMEN,28,Sector,1933,S+P+3E+Ma,12,1104,1993,Constantin ARIENESCU,,,,07.04.2016,03.05.2016
48,Rs I,48,44.443756,26.101159,București,Strada DIONISIE LUPU,53,Sector,1937,P+7E,13,2461,1994,Leonid NEAGOE,,,,07.04.2016,03.05.2016
49,Rs I,49,44.444311,26.100971,București,Strada DIONISIE LUPU,55,Sector,1936,P+5E+Ma,13,1222,1993,Eugeniu IORDACHESCU,,,,07.04.2016,03.05.2016
50,Rs I,50,44.434015,26.099094,București,Strada DOAMNEI,3,Sector,1890,P+3E+Ma; P+4E,26,404,1993,Voicu DORDEA,,,,07.04.2016,03.05.2016
51,Rs I,51,44.433807,26.099528,București,Strada DOAMNEI,5,Sector,1934,P+10E+Ma,25,393,1993,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
52,Rs I,52,44.456852,26.096462,București,"Calea DOROBANŢILOR Bulevardul IANCU DE HUNEDOARA (corp A + B, Studio ""MARTIN"")",99 61,Sector,1935,S+P+6E; S+P+6E,24,2602,2008,Gabriel SERBAN,încadrare în clasă de risc seismic în anul 2008,,,07.04.2016,03.05.2016
53,Rs I,53,44.433886,26.095918,București,Strada EFORIEI,8,Sector,1940,S+P+8E+Ma,58,5917,1996,Constantin TARHON,,,,07.04.2016,03.05.2016
54,Rs I,54,44.441989,26.096874,București,Strada EPISCOPIEI,5,Sector,1936,DS+P+6E,17,2335,1993,Dan CAPAŢANA,,,,07.04.2016,03.05.2016
55,Rs I,55,44.430787,26.097237,București,Strada FRANCEZA,6,Sector,1869,S+P+2E+Ma S+P+MZ+2E,4,970,1993,Voicu DORDEA,,,,07.04.2016,03.05.2016
56,Rs I,56,44.430751,26.097337,București,Strada FRANCEZA,8,Sector,1870,P+2E,5,1134,1993,Voicu DORDEA,,,,07.04.2016,03.05.2016
57,Rs I,57,44.430439,26.099441,București,Strada FRANCEZA,9,Sector,1910,S+P+6E,45,4356,1993,Nicolae ALEMAN,,,,07.04.2016,03.05.2016
58,Rs I,58,44.430595,26.097954,București,Strada FRANCEZA,20,Sector,1880,S+P+1E;S+P+2E+Ma,6,747,1993,Emil COROIU,,,,07.04.2016,03.05.2016
59,Rs I,59,44.430259,26.0988,București,Strada FRANCEZA,30,Sector,1870,S+P+2E+Ma,23,2622,1993,Nicolae MIHAILESCU,,,,07.04.2016,03.05.2016
60,Rs I,60,44.430185,26.099084,București,Strada FRANCEZA,32,Sector,1885,S+P+1E; S+P+2E,10,700,1993,Mircea MIRONESCU,,,,07.04.2016,03.05.2016
61,Rs I,61,44.429686,26.100601,București,Strada FRANCEZA,52,Sector,1934,S+P+5E+Ma,25,414,1994,Dan POPESCU,,,,07.04.2016,03.05.2016
62,Rs I,62,44.431262,26.101667,București,Strada GABROVENI,6(8,Sector,1890,S+P+1 E+Ma,5,2327,1993,Laurenţiu SPOIALA,,,,07.04.2016,03.05.2016
63,Rs I,63,44.431084,26.102008,București,Strada GABROVENI,12,Sector,1924,S+P+4E,12,5734,1993,Ioan VARSA,,,,07.04.2016,03.05.2016
64,Rs I,64,44.430868,26.102718,București,Strada GABROVENI,22,Sector,1870,S+P+1E,10,17,1993,Voicu DORDEA,,,,07.04.2016,03.05.2016
65,Rs I,65,44.431119,26.102913,București,Strada GABROVENI,59,Sector,1924,S+P+2E+Ma,1,160,1993,Alexandru PROGRESEANU,,,,07.04.2016,03.05.2016
66,Rs I,66,44.444614,26.078354,București,Strada GARII DE NORD (scara A - corp principal. scara 1 + 2 + 3 + 4 + 5 + 6),6(8,Sector,1959,S+P+9E,414,129,2001,Emilian TITARU,corpul anexă este încadrat în clasa de risc seismic RsIII,,,07.04.2016,03.05.2016
67,Rs I,67,44.442921,26.096755,București,Strada GEORGE ENESCU (corp B + C),5,Sector,1910,P+2E,3,800,2007,Barbu VIERESCU,încadrare în clasă de risc seismic în anii 2007/2010; corpurile B şi C propuse pentru demolare,,,07.04.2016,03.05.2016
68,Rs I,68,44.443036,26.096806,București,Strada GEORGE ENESCU,21,Sector,1932,S+P+5E+Ma,12,1331,1999,Marin TEODOR,,,,07.04.2016,03.05.2016
69,Rs I,69,44.443808,26.098373,București,"Bulevardul GHEORGHE MAGHERU (Cinematograful „PATRIA"")",12(14,Sector,1931,S+P+7E S+P+9E,54,76,1993,Mihai NAVODARIU,1929 1931,,,07.04.2016,03.05.2016
70,Rs I,70,44.443808,26.098373,București,"Bulevardul GHEORGHE MAGHERU Strada JULES MICHELET (Teatrul „C. I. NOTTARA"")",20 2(6,Sector,1940,P+6E+Ma,12,2447,1997,Mihai NAVODARIU,,,,,
71,Rs I,70,44.443808,26.098373,București,"Bulevardul GHEORGHE MAGHERU Strada JULES MICHELET (Teatrul „C. I. NOTTARA"")",20 2(6,Sector,1946,P+9E,52,7053,1996,Mihai NAVODARIU,,,,07.04.2016,03.05.2016
72,Rs I,71,44.443921,26.098268,București,Bulevardul GHEORGHE MAGHERU,22,Sector,1936,S+P+6E+Ma,28,3625,1995,Valentin GEORGESCU,,,,07.04.2016,03.05.2016
73,Rs I,72,44.443808,26.098373,București,"Bulevardul GHEORGHE MAGHERU (Librăria „PAPIRUS"")",27,Sector,1935,S+P+8E+Ma,49,4302,1997,Iorgu NICULA,,,,07.04.2016,03.05.2016
74,Rs I,73,44.443808,26.098373,București,"Bulevardul GHEORGHE MAGHERU (Cinematograful „STUDIO"")",29,Sector,1945,S1+S2+P+Mz+7E+Ma,24,6344,1994,Ion NEGESCU,,,,07.04.2016,03.05.2016
75,Rs I,74,44.444601,26.087083,București,Calea GRIVIŢEI,33,Sector,1930,P+7E+Ma,24,3683,1995,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
76,Rs I,75,44.444679,26.086709,București,Calea GRIVIŢEI,39,Sector,1940,S+P+6E,0,,2014,Dan CAPATANA,încadrare în clasă de risc seismic în anul 2014,,,07.04.2016,03.05.2016
77,Rs I,76,44.457506,26.060651,București,Calea GRIVIŢEI (corp A),107(109,Sector,1934,S+P+4E+Ma,24,2885,1996,Stere CARACOTI,,,,07.04.2016,03.05.2016
78,Rs I,77,44.429568,26.100801,București,Strada HALELOR,3,Sector,1898,S+P+1E+Ma,3,716,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
79,Rs I,78,44.435488,26.10651,București,Bulevardul HRISTO BOTEV,3,Sector,1923,P+7E,14,4625,1994,Dan POPESCU,,,,07.04.2016,03.05.2016
80,Rs I,79,44.430334,26.097366,București,Strada IOAN FILITTI,6,Sector,1930,P+5E+Ma,12,169,1993,Gheorghe DRUGEA,,,,07.04.2016,03.05.2016
81,Rs I,80,44.433463,26.09475,București,Strada ION BREZOIANU,6,Sector,1936,S+P+8E,29,1465,1995,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
82,Rs I,81,44.437612,26.094412,București,Strada ION BREZOIANU,38,Sector,1935,S+P+5E,9,1542,1995,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
83,Rs I,82,44.437612,26.094412,București,Strada ION BREZOIANU,38A,Sector,1936,S+P+6E,12,2599,1993,Silvia CARAMAN,,,,07.04.2016,03.05.2016
84,Rs I,83,44.438047,26.093739,București,Strada ION BREZOIANU,46,Sector,1948,DS+P+5E,31,3237,2011,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
85,Rs I,84,44.437391,26.099177,București,Strada ION CAMPINEANU,9,Sector,1937,S+P+6E+Ma,17,187,1995,Valentin GEORGESCU,,,,07.04.2016,03.05.2016
86,Rs I,85,44.437512,26.099327,București,Strada ION CAMPINEANU,12,Sector,1925,S+P+6E,18,1909,2007,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
87,Rs I,86,44.437381,26.095805,București,Strada ION CAMPINEANU,22,Sector,1938,S+P+8E,59,1583,1996,Constantin TARHON,,,,07.04.2016,03.05.2016
88,Rs I,87,44.44195,26.10569,București,Strada ION LUCA CARAGIALE,28,Sector,1933,S+P+4E,11,1334,1993,Adina SIMION,,,,07.04.2016,03.05.2016
89,Rs I,88,44.434035,26.101541,București,"Strada ION GHICA (Cinematograful „PRO"")",3,Sector,1938,P+8E,53,5835,1993,Mariana STOENESCU; Emilian TITARU,,,,07.04.2016,03.05.2016
90,Rs I,89,44.43929,26.105032,București,"Strada JEAN LOUIS CALDERON („TEATRUL FOARTE MIC"")",2,Sector,1910,S+P+MZ+5E,22,3745,1993,Mihai URSACHESCU; Dan STANCIULESCU,,,,07.04.2016,03.05.2016
91,Rs I,90,44.439829,26.105118,București,Strada JEAN LOUIS CALDERON,36,Sector,1930,S+P+4E+Ma,34,3568,1993,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
92,Rs I,91,44.442334,26.104676,București,Strada JEAN LOUIS CALDERON,61,Sector,1930,P+5E,13,2404,1993,Alexandrina PRETORIAN.Dan STANCIULESCU,,,,07.04.2016,03.05.2016
93,Rs I,92,44.433982,26.077913,București,Strada JOSEPH LISTER,1,Sector,1934,S+P+4E+Ma,21,2033,2012,Nicolae GHITA,,,,07.04.2016,03.05.2016
94,Rs I,93,44.444016,26.098589,București,Strada JULES MICHELET,1,Sector,1937,P+7E+Ma,17,2065,1996,Nicolae GHITA,,,,07.04.2016,03.05.2016
95,Rs I,94,44.432332,26.097985,București,Strada LIPSCANI,12,Sector,1898,S+P+4E,44,336,1993,Radu PETROVICI,,,,07.04.2016,03.05.2016
96,Rs I,95,44.43263,26.09828,București,Strada LIPSCANI,21,Sector,1884,S+P+2E,24,3171,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
97,Rs I,96,44.433044,26.102426,București,"Strada LIPSCANI (Librăria „GEORGE COŞBUC"")",26,Sector,1884,S+P+2E+Ma,1,2371,1993,Mariana STOENESCU,,,,07.04.2016,03.05.2016
98,Rs I,97,44.432184,26.100189,București,Strada LIPSCANI,29,Sector,1934,S+P+7E,2,3438,1993,Ion VARSA,,,,07.04.2016,03.05.2016
99,Rs I,98,44.432225,26.100385,București,Strada LIPSCANI,31(33,Sector,1934,S+P+4E,2,3438,1993,Ion VARSA,,,,07.04.2016,03.05.2016
100,Rs I,99,44.432036,26.101083,București,Strada LIPSCANI,45,Sector,1880,S+P+1 E+Ma,2,27,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
101,Rs I,100,44.431918,26.101197,București,Strada LIPSCANI,47,Sector,1880,S+P+1E,2,520,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
102,Rs I,101,44.431974,26.101749,București,Strada LIPSCANI,57,Sector,1890,S+P+2E,1,795,1993,Şerban ALTENLIU,,,,07.04.2016,03.05.2016
103,Rs I,102,44.431987,26.104137,București,Strada LIPSCANI,94,Sector,1930,P+5E,16,2017,1993,Stelian ALTENLIU,,,,07.04.2016,03.05.2016
104,Rs I,103,44.454506,26.093163,București,Strada LONDRA,16(20,Sector,1924,S+P+4E+Ma,104,10322,1993,Alexandru PROGRESEANU Mariana STOENESCU,,,,07.04.2016,03.05.2016
105,Rs I,104,44.440183,26.108901,București,Strada LUCA STROICI,1,Sector,1949,S+P+8E,17,2375,1993,Radu PETROVICI,,,,07.04.2016,03.05.2016
106,Rs I,105,44.442001,26.107063,București,Strada MARIA ROSETTI,10,Sector,1946,S+P+7E,34,2738,1996,Nicolae CONSTANTINESCU,,,,07.04.2016,03.05.2016
107,Rs I,106,44.419757,26.099298,București,Bulevardul MARAŞEŞTI,42,Sector,1963,S+P+Mz+8E,137,11766,1996,Dan CAPATANA,,,,07.04.2016,03.05.2016
108,Rs I,107,44.437469,26.114336,București,Strada MÂNTULEASA,42,Sector,1932,P+7E,30,4232,1993,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
109,Rs I,108,44.426523,26.137784,București,"Soseaua MIHAI BRAVU (bloc D17, corp A)",90(96,Sector,1963,S+P+10E,60,4092,2008,"Radu VĂCĂREANU, Alexandrina PRETORIAN, Dragoş BADEA",încadrare în clasă de risc seismic în anul 2008,,,07.04.2016,03.05.2016
110,Rs I,109,44.432604,26.094926,București,Strada MIHAI VODA,13,Sector,1935,P+4E,14,1624,1993,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
111,Rs I,110,44.432598,26.094804,București,Strada MIHAI VODĂ,15,Sector,1914,S+P+6E,15,1878,1997,Niculae TUDOSE,,,,07.04.2016,03.05.2016
112,Rs I,111,44.434463,26.084437,București,Bulevardul MIHAIL KOGĂLNICEANU,29 (83),Sector,1935,S+P+3E+Ma,22,207,2011,Nicolae GHITA,încadrare în clasă de risc seismic în anul 2011,,,07.04.2016,03.05.2016
113,Rs I,112,44.434475,26.083087,București,Bulevardul MIHAIL KOGĂLNICEANU (corp A + B),30,Sector,1922,S+P+4E+Ma S+P+2E+Ma,37,4501,1993,Gabriel NICULESCU,,,,07.04.2016,03.05.2016
114,Rs I,113,44.434312,26.082796,București,Bulevardul MIHAIL KOGĂLNICEANU,43,Sector,1937,P+7E,16,174,1998,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
115,Rs I,114,44.434336,26.082075,București,Bulevardul MIHAIL KOGĂLNICEANU,49,Sector,1938,P+7E,83,259,1998,Mihai URSACHESCU,,,,07.04.2016,03.05.2016
116,Rs I,115,44.434331,26.081742,București,Bulevardul MIHAIL KOGĂLNICEANU,51,Sector,1929,S+P+7E,43,7353,1993,Corneliu NICUT,,,,07.04.2016,03.05.2016
117,Rs I,116,44.43111,26.104982,București,Calea MOŞILOR,42,Sector,1930,P+4E+Ma,4,442,1993,Alexandru NEFIAN,,,,07.04.2016,03.05.2016
118,Rs I,117,44.434284,26.107918,București,Calea MOŞILOR,96,Sector,1900,S+P+5E+Ma,11,1803,1993,Ioan VIRSA,,,,07.04.2016,03.05.2016
119,Rs I,118,44.437583,26.113528,București,Calea MOŞILOR,131,Sector,1938,S+P+5E+Ma,29,2028,1993,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
120,Rs I,119,44.438504,26.114808,București,Calea MOŞILOR,133,Sector,1938,S+P+7E,22,1979,1994,Dan POPESCU,,,,07.04.2016,03.05.2016
121,Rs I,120,44.439966,26.116086,București,Calea MOŞILOR,149,Sector,1934,S+DS+P+4E,12,1084,2009,Rodica VASILESCU,,,,07.04.2016,03.05.2016
122,Rs I,121,44.437371,26.101414,București,Bulevardul NICOLAE BĂLCESCU,7,Sector,1933,S+P+6E,15,273,1998,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
123,Rs I,122,44.438301,26.100917,București,Bulevardul NICOLAE BĂLCESCU (corp A + B),21,Sector,1940,S+P+7E,0,5952,2014,Mihai URSACHESCU,"1920 -1940, încadrare în clasă de risc seismic în anul 2014",,,07.04.2016,03.05.2016
124,Rs I,123,44.439932,26.100225,București,Bulevardul NICOLAE BĂLCESCU,30,Sector,1936,S+P+8E+Ma,25,2756,1999,MihaiURSACHESCU,,,,07.04.2016,03.05.2016
125,Rs I,124,44.440068,26.100158,București,Bulevardul NICOLAE BĂLCESCU,32(34,Sector,1935,S+P+9E,45,6996,1998,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
126,Rs I,125,44.440958,26.098039,București,Strada NICOLAE GOLESCU,5,Sector,1938,P+9E,21,1766,1998,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
127,Rs I,126,44.447668,26.092308,București,Strada NICOLAE IORGA,22,Sector,1939,S+P+6E+Ma,31,314,1995,Adina SIMION,,,,07.04.2016,03.05.2016
128,Rs I,127,44.430114,26.097803,București,Strada NICOLAE TONITZA,11,Sector,1940,S+P+8E,67,37,1993,Dan POPESCU,,,,07.04.2016,03.05.2016
129,Rs I,128,44.436872,26.08529,București,Strada OSTAŞILOR,4,Sector,1927,P+5E+Ma; P+4E+Ma,18,2832,1997,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
130,Rs I,129,44.437793,26.116731,București,Piata PACHE PROTOPOPESCU,11,Sector,1935,S+P+3E+Ma,10,141,1993,Ion LUNGU,,,,07.04.2016,03.05.2016
131,Rs I,130,44.426913,26.067229,București,Soseaua PANDURI,36,Sector,1938,S+P+4E,11,602,2004,Rodica VASILESCU,,,,07.04.2016,03.05.2016
132,Rs I,131,44.443857,26.100815,București,Strada PITAR MOŞ,27,Sector,1936,P+6E+Ma,26,2722,1997,Dan CAPATINA,,,,07.04.2016,03.05.2016
133,Rs I,132,44.444147,26.100756,București,Strada PITAR MOŞ,29,Sector,1936,P+6E+Ma,59,4639,1997,Dan CAPATINA,,,,07.04.2016,03.05.2016
134,Rs I,133,44.433639,26.089522,București,Calea PLEVNEI,1,Sector,1930,S+P+8E,52,6022,1993,Dragoş BADEA,,,,07.04.2016,03.05.2016
135,Rs I,134,44.428155,26.096521,București,Strada POENARU BORDEA,12(14,Sector,1937,P+7E,24,2813,1994,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
136,Rs I,135,44.428013,26.097097,București,Strada POENARU BORDEA,16,Sector,1936,S+P+7E,30,33,1996,Constantin TARHON,,,,07.04.2016,03.05.2016
137,Rs I,136,44.439311,26.092263,București,Strada POIANA NARCISELOR,5,Sector,1929,P+6E+Ma,22,2914,1995,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
138,Rs I,137,44.439273,26.092613,București,Strada POIANA NARCISELOR,7,Sector,1902,S+P+4E,17,212,1994,Victor NEDRITA,,,,07.04.2016,03.05.2016
139,Rs I,138,44.434774,26.097192,București,Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGĂLNICEANU),24 (6),Sector,1890,S+P+3E,4,135,1993,Constantin NICUT,,,,07.04.2016,03.05.2016
140,Rs I,139,44.434491,26.086134,București,Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGĂLNICEANU),35 (15),Sector,1940,S+P+7E+Ma,17,244,1996,Adina SIMION,,,,07.04.2016,03.05.2016
141,Rs I,140,44.434727,26.093889,București,Bulevardul REGINA ELISABETA (fost Bulevardul MIHAIL KOGĂLNICEANU),44 (24),Sector,1938,P+7E,25,3821,1993,Dragoş BADEA,,,,07.04.2016,03.05.2016
142,Rs I,141,44.447247,26.096811,București,Piaţa ROMANĂ („LIBRĂRIA COPIILOR'),9,Sector,1959,S+P+9E,156,4645,1993,Dan STANCIULESCU,,,,07.04.2016,03.05.2016
143,Rs I,142,44.431201,26.093939,București,Strada SAPIENTEI,1,Sector,1930,S+P+5E,15,2189,1995,Alexandrina PRETORIAN,,,,07.04.2016,03.05.2016
144,Rs I,143,44.433928,26.08968,București,Bulevardul SCHITU MĂGUREANU,3,Sector,1891,S+P+4E+Ma,31,4076,1993,Rodica VASILESCU,,,,07.04.2016,03.05.2016
145,Rs I,144,44.436341,26.088537,București,Bulevardul SCHITU MĂGUREANU,19,Sector,1930,S+P+6E+Ma,14,297,1997,Niculae TUDOSE; Marius GABOR,,,,07.04.2016,03.05.2016
